@relation 'Copy of credit-g-attr10cleaned2numeric2'

@attribute Case numeric
@attribute Checking_status numeric
@attribute Credit_history numeric
@attribute Credit_amount numeric
@attribute Saving_status numeric
@attribute Employment numeric
@attribute Personal_status numeric
@attribute Age numeric
@attribute Class numeric

@data
1,-1,-1,1169,-1,1,1,67,1
2,1,1,5951,1,1,-1,22,-1
3,-1,-1,2096,1,1,1,49,1
4,-1,1,7882,1,1,1,45,1
5,-1,-1,4870,1,1,1,53,-1
6,-1,1,9055,-1,1,1,35,1
7,-1,1,2835,1,1,1,53,1
8,1,1,6948,1,1,1,35,1
9,-1,1,3059,1,1,1,61,1
10,1,-1,5234,1,-1,1,28,-1
11,1,1,1295,1,1,-1,25,-1
12,-1,1,4308,1,1,-1,24,-1
13,1,1,1567,1,1,-1,22,1
14,-1,-1,1199,1,1,1,60,-1
15,-1,1,1403,1,1,-1,28,1
16,-1,1,1282,1,1,-1,32,-1
17,-1,-1,2424,-1,1,1,53,1
18,-1,1,8072,-1,1,1,25,1
19,1,1,12579,1,1,-1,44,-1
20,-1,1,3430,1,1,1,31,1
21,-1,-1,2134,1,1,1,48,1
22,-1,1,2647,1,1,1,44,1
23,-1,-1,2241,1,1,1,48,1
24,1,-1,1804,1,1,1,44,1
25,-1,-1,2069,-1,1,1,26,1
26,-1,1,1374,1,1,1,60,1
27,-1,1,426,1,1,1,39,1
28,1,1,409,1,1,-1,42,1
29,1,1,2415,1,1,1,34,1
30,-1,-1,6836,1,1,1,63,-1
31,1,1,1913,1,1,1,36,1
32,-1,1,4020,1,1,1,27,1
33,1,1,5866,1,1,1,30,1
34,-1,-1,1264,-1,1,1,57,1
35,1,1,1474,1,1,-1,33,1
36,1,-1,4746,1,1,1,25,-1
37,-1,-1,6110,1,1,1,31,1
38,1,1,2100,1,1,1,37,-1
39,1,1,1225,1,1,1,37,1
40,1,1,458,1,1,1,24,1
41,-1,1,2333,1,1,1,30,1
42,1,1,1158,1,1,1,26,1
43,1,-1,6204,1,1,1,44,1
44,-1,-1,6187,1,1,1,24,1
45,-1,-1,6143,1,1,-1,58,-1
46,-1,-1,1393,1,1,-1,35,1
47,-1,1,2299,1,1,1,39,1
48,-1,1,1352,1,-1,-1,23,1
49,-1,-1,7228,1,1,1,39,1
50,-1,1,2073,1,1,-1,28,1
51,1,-1,2333,-1,1,1,29,1
52,1,-1,5965,1,1,1,30,1
53,-1,1,1262,1,1,1,25,1
54,-1,1,3378,-1,1,1,21,1
55,1,-1,2225,1,1,1,57,-1
56,-1,1,783,-1,1,1,26,1
