Case,Checking_status,Credit_history,Purpose,Credit_amount,Saving_status,Employment,Personal_status,Age,Job,Class
1,'<0','critical/other existing credit',radio/tv,low,'no known savings','>=7','male single',old aged,skilled,good
2,'0<=X<200','existing paid',radio/tv,medium,'<100','1<=X<4','female div/dep/mar',young,skilled,bad
3,'no checking','critical/other existing credit',education,medium,'<100','4<=X<7','male single',middle aged,'unskilled resident',good
4,'<0','existing paid',furniture/equipment,medium,'<100','4<=X<7','male single',middle aged,skilled,good
5,'<0','delayed previously','new car',medium,'<100','1<=X<4','male single',middle aged,skilled,bad
6,'no checking','existing paid',education,high,'no known savings','1<=X<4','male single',young,'unskilled resident',good
7,'no checking','existing paid',furniture/equipment,medium,'500<=X<1000','>=7','male single',middle aged,skilled,good
8,'0<=X<200','existing paid','used car',medium,'<100','1<=X<4','male single',young,'high qualif/self emp/mgmt',good
9,'no checking','existing paid',radio/tv,medium,'>=1000','4<=X<7','male div/sep',old aged,'unskilled resident',good
10,'0<=X<200','critical/other existing credit','new car',medium,'<100',unemployed,'male mar/wid',young,'high qualif/self emp/mgmt',bad
11,'0<=X<200','existing paid','new car',low,'<100','<1','female div/dep/mar',young,skilled,bad
12,'<0','existing paid',business,medium,'<100','<1','female div/dep/mar',young,skilled,bad
13,'0<=X<200','existing paid',radio/tv,low,'<100','1<=X<4','female div/dep/mar',young,skilled,good
14,'<0','critical/other existing credit','new car',low,'<100','>=7','male single',middle aged,'unskilled resident',bad
15,'<0','existing paid','new car',low,'<100','1<=X<4','female div/dep/mar',young,skilled,good
16,'<0','existing paid',radio/tv,low,'100<=X<500','1<=X<4','female div/dep/mar',young,'unskilled resident',bad
17,'no checking','critical/other existing credit',radio/tv,medium,'no known savings','>=7','male single',middle aged,skilled,good
18,'<0','no credits/all paid',business,medium,'no known savings','<1','male single',young,skilled,good
19,'0<=X<200','existing paid','used car',high,'<100','>=7','female div/dep/mar',middle aged,'high qualif/self emp/mgmt',bad
20,'no checking','existing paid',radio/tv,medium,'500<=X<1000','>=7','male single',young,skilled,good
21,'no checking','critical/other existing credit','new car',medium,'<100','1<=X<4','male single',middle aged,skilled,good
22,'<0','existing paid',radio/tv,medium,'500<=X<1000','1<=X<4','male single',middle aged,skilled,good
23,'<0','critical/other existing credit','new car',medium,'<100','<1','male single',middle aged,'unskilled resident',good
24,'0<=X<200','critical/other existing credit','used car',low,'100<=X<500','<1','male single',middle aged,skilled,good
25,'no checking','critical/other existing credit',furniture/equipment,medium,'no known savings','1<=X<4','male mar/wid',young,skilled,good
26,'<0','existing paid',furniture/equipment,low,'<100','1<=X<4','male single',middle aged,'unskilled resident',good
27,'no checking','no credits/all paid',radio/tv,low,'<100','>=7','male mar/wid',young,'unskilled resident',good
28,'>=200','all paid',radio/tv,low,'>=1000','1<=X<4','female div/dep/mar',middle aged,skilled,good
29,'0<=X<200','existing paid',radio/tv,medium,'<100','1<=X<4','male single',young,skilled,good
30,'<0','delayed previously',business,medium,'<100','>=7','male single',old aged,skilled,bad
31,'0<=X<200','existing paid',business,low,'>=1000','<1','male mar/wid',young,skilled,good
32,'<0','existing paid',furniture/equipment,medium,'<100','1<=X<4','male single',young,skilled,good
33,'0<=X<200','existing paid','new car',medium,'100<=X<500','1<=X<4','male single',young,skilled,good
34,'no checking','critical/other existing credit',business,low,'no known savings','>=7','male single',middle aged,'unskilled resident',good
35,'>=200','existing paid',furniture/equipment,low,'<100','<1','female div/dep/mar',young,'high qualif/self emp/mgmt',good
36,'0<=X<200','critical/other existing credit',radio/tv,medium,'<100','<1','male single',young,'unskilled resident',bad
37,'no checking','critical/other existing credit',education,medium,'<100','1<=X<4','male single',young,skilled,good
38,'>=200','existing paid',radio/tv,medium,'<100','1<=X<4','male single',young,skilled,bad
39,'>=200','existing paid','domestic appliance',low,'<100','1<=X<4','male single',young,skilled,good
40,'0<=X<200','existing paid',radio/tv,low,'<100','1<=X<4','male single',young,skilled,good
41,'no checking','existing paid',radio/tv,medium,'500<=X<1000','>=7','male single',young,'high qualif/self emp/mgmt',good
42,'0<=X<200','existing paid',radio/tv,low,'500<=X<1000','1<=X<4','male div/sep',young,skilled,good
43,'0<=X<200','delayed previously',repairs,medium,'<100','1<=X<4','male single',middle aged,'unskilled resident',good
44,'<0','critical/other existing credit','used car',medium,'100<=X<500','4<=X<7','male mar/wid',young,skilled,good
45,'<0','critical/other existing credit','used car',medium,'<100','>=7','female div/dep/mar',middle aged,'unskilled resident',bad
46,'no checking','critical/other existing credit','new car',low,'<100','<1','female div/dep/mar',young,'high qualif/self emp/mgmt',good
47,'no checking','existing paid',radio/tv,medium,'500<=X<1000','>=7','male single',young,skilled,good
48,'<0','existing paid','used car',low,'500<=X<1000',unemployed,'female div/dep/mar',young,'unemp/unskilled non res',good
49,'no checking','critical/other existing credit','new car',medium,'<100','1<=X<4','male single',young,'unskilled resident',good
50,'no checking','existing paid',radio/tv,medium,'100<=X<500','1<=X<4','female div/dep/mar',young,skilled,good
51,'0<=X<200','delayed previously',furniture/equipment,medium,'no known savings','<1','male single',young,'unskilled resident',good
52,'0<=X<200','delayed previously','used car',medium,'<100','>=7','male single',young,'high qualif/self emp/mgmt',good
53,'no checking','existing paid',radio/tv,low,'<100','1<=X<4','male single',young,skilled,good
54,'no checking','existing paid','used car',medium,'no known savings','1<=X<4','male single',young,skilled,good
55,'0<=X<200','delayed previously','new car',medium,'<100','>=7','male single',middle aged,skilled,bad
56,'no checking','all paid','new car',low,'no known savings','1<=X<4','male single',young,'unskilled resident',good
57,'0<=X<200','existing paid',radio/tv,medium,'no known savings',unemployed,'male single',middle aged,'high qualif/self emp/mgmt',bad
58,'no checking','critical/other existing credit',radio/tv,high,'<100','1<=X<4','female div/dep/mar',young,skilled,good
59,'>=200','existing paid','new car',low,'<100','>=7','female div/dep/mar',young,'high qualif/self emp/mgmt',good
60,'<0','critical/other existing credit',furniture/equipment,medium,'<100','<1','female div/dep/mar',young,'unskilled resident',bad
61,'0<=X<200','existing paid',business,low,'<100','1<=X<4','male mar/wid',young,skilled,good
62,'0<=X<200','critical/other existing credit',radio/tv,low,'no known savings','>=7','male single',middle aged,skilled,good
63,'0<=X<200','no credits/all paid',business,low,'<100','>=7','male single',old aged,'high qualif/self emp/mgmt',bad
64,'0<=X<200','no credits/all paid',business,high,'<100','1<=X<4','male single',young,skilled,bad
65,'no checking','existing paid',radio/tv,medium,'<100','<1','female div/dep/mar',young,'unskilled resident',good
66,'no checking','existing paid',repairs,medium,'no known savings','>=7','male single',middle aged,skilled,good
67,'no checking','existing paid',radio/tv,medium,'<100','<1','female div/dep/mar',young,skilled,good
68,'0<=X<200','existing paid','new car',low,'>=1000','1<=X<4','male mar/wid',young,skilled,good
69,'no checking','existing paid',education,low,'<100','1<=X<4','male single',young,'unskilled resident',bad
70,'no checking','existing paid',radio/tv,medium,'no known savings','1<=X<4','female div/dep/mar',young,skilled,good
71,'no checking','existing paid','used car',medium,'<100','1<=X<4','female div/dep/mar',young,skilled,good
72,'no checking','critical/other existing credit',radio/tv,low,'no known savings','>=7','male single',middle aged,'unskilled resident',good
73,'<0','critical/other existing credit',other,low,'<100','>=7','male single',middle aged,'high qualif/self emp/mgmt',good
74,'0<=X<200','critical/other existing credit',business,medium,'<100','4<=X<7','female div/dep/mar',middle aged,'unskilled resident',good
75,'<0','existing paid',education,low,'no known savings','>=7','male single',middle aged,'high qualif/self emp/mgmt',bad
76,'<0','critical/other existing credit','used car',low,'<100','>=7','male single',old aged,'high qualif/self emp/mgmt',good
77,'<0','existing paid',radio/tv,medium,'<100','<1','male single',young,skilled,bad
78,'0<=X<200','delayed previously',radio/tv,medium,'<100','4<=X<7','male single',middle aged,skilled,good
79,'no checking','no credits/all paid','used car',high,'no known savings','1<=X<4','male single',young,'unskilled resident',good
80,'0<=X<200','existing paid',furniture/equipment,medium,'<100','<1','male mar/wid',young,skilled,good
81,'no checking','existing paid',radio/tv,medium,'no known savings','<1','female div/dep/mar',middle aged,skilled,bad
82,'no checking','existing paid',radio/tv,low,'500<=X<1000','>=7','male single',middle aged,skilled,good
83,'no checking','existing paid',business,low,'100<=X<500','1<=X<4','female div/dep/mar',young,'unskilled resident',good
84,'<0','existing paid',other,low,'<100','>=7','female div/dep/mar',middle aged,'unskilled resident',good
85,'<0','existing paid',radio/tv,medium,'<100','>=7','male single',middle aged,'unskilled resident',good
86,'no checking','critical/other existing credit',business,low,'<100','1<=X<4','female div/dep/mar',young,'high qualif/self emp/mgmt',good
87,'0<=X<200','critical/other existing credit',furniture/equipment,low,'<100','<1','female div/dep/mar',young,skilled,good
88,'0<=X<200','existing paid',education,high,'100<=X<500','1<=X<4','male single',middle aged,skilled,bad
89,'<0','existing paid','new car',medium,'100<=X<500','4<=X<7','male single',young,'high qualif/self emp/mgmt',good
90,'<0','no credits/all paid',repairs,low,'<100','4<=X<7','male single',young,skilled,bad
91,'no checking','critical/other existing credit',radio/tv,low,'<100','>=7','male single',middle aged,skilled,good
92,'<0','critical/other existing credit','used car',low,'<100','>=7','male single',middle aged,skilled,good
93,'no checking','critical/other existing credit',radio/tv,low,'no known savings','>=7','female div/dep/mar',young,'unskilled resident',bad
94,'>=200','critical/other existing credit',furniture/equipment,medium,'no known savings','>=7','male single',young,skilled,good
95,'0<=X<200','existing paid','new car',low,'>=1000','>=7','male single',middle aged,skilled,good
96,'0<=X<200','no credits/all paid',business,high,'<100','<1','male single',middle aged,skilled,bad
97,'no checking','critical/other existing credit',education,medium,'no known savings','4<=X<7','female div/dep/mar',old aged,skilled,good
98,'0<=X<200','existing paid',business,medium,'100<=X<500','1<=X<4','male single',young,skilled,good
99,'0<=X<200','critical/other existing credit',radio/tv,medium,'<100','>=7','male single',young,skilled,good
100,'0<=X<200','delayed previously','used car',medium,'no known savings','4<=X<7','male single',young,'high qualif/self emp/mgmt',good
101,'no checking','existing paid','new car',low,'100<=X<500','>=7','male mar/wid',middle aged,'unskilled resident',good
102,'0<=X<200','existing paid',radio/tv,medium,'<100','4<=X<7','male single',young,skilled,good
103,'no checking','delayed previously',radio/tv,low,'<100','1<=X<4','female div/dep/mar',young,skilled,good
104,'0<=X<200','critical/other existing credit',furniture/equipment,low,'<100','4<=X<7','male single',young,skilled,good
105,'no checking','existing paid','used car',medium,'no known savings','<1','male mar/wid',young,skilled,good
106,'0<=X<200','critical/other existing credit',other,high,'<100','1<=X<4','male single',young,'high qualif/self emp/mgmt',bad
107,'no checking','all paid','new car',medium,'<100','>=7','male single',young,'high qualif/self emp/mgmt',bad
108,'0<=X<200','existing paid','new car',medium,'<100','4<=X<7','male single',young,skilled,good
109,'<0','existing paid',furniture/equipment,medium,'no known savings','<1','female div/dep/mar',young,skilled,good
110,'0<=X<200','existing paid',business,low,'500<=X<1000','>=7','male mar/wid',young,skilled,good
111,'0<=X<200','delayed previously',business,low,'100<=X<500','>=7','male div/sep',young,skilled,good
112,'>=200','existing paid',education,low,'<100','<1','female div/dep/mar',young,skilled,good
113,'0<=X<200','existing paid','new car',medium,'<100','4<=X<7','male single',young,'unskilled resident',good
114,'no checking','critical/other existing credit','new car',medium,'<100','1<=X<4','female div/dep/mar',young,skilled,bad
115,'<0','existing paid',radio/tv,low,'500<=X<1000','>=7','male mar/wid',young,skilled,good
116,'no checking','critical/other existing credit',radio/tv,medium,'no known savings','>=7','male single',middle aged,skilled,good
117,'<0','existing paid',radio/tv,medium,'no known savings','4<=X<7','female div/dep/mar',young,'high qualif/self emp/mgmt',bad
118,'<0','critical/other existing credit',furniture/equipment,medium,'no known savings','<1','female div/dep/mar',young,skilled,good
119,'<0','critical/other existing credit',furniture/equipment,medium,'500<=X<1000','1<=X<4','female div/dep/mar',young,skilled,bad
