@relation credit-g-attr10cleanednominalbinary

@attribute Case numeric
@attribute Checking_status numeric
@attribute Credit_history numeric
@attribute Credit_amount numeric
@attribute Saving_status numeric
@attribute Employment numeric
@attribute Personal_status numeric
@attribute Age numeric
@attribute Class numeric

@data
1,0,0,1169,0,1,1,67,1
2,1,1,5951,1,1,0,22,0
3,0,0,2096,1,1,1,49,1
4,0,1,7882,1,1,1,45,1
5,0,0,4870,1,1,1,53,0
6,0,1,9055,0,1,1,35,1
7,0,1,2835,1,1,1,53,1
8,1,1,6948,1,1,1,35,1
9,0,1,3059,1,1,1,61,1
10,1,0,5234,1,0,1,28,0
11,1,1,1295,1,1,0,25,0
12,0,1,4308,1,1,0,24,0
13,1,1,1567,1,1,0,22,1
14,0,0,1199,1,1,1,60,0
15,0,1,1403,1,1,0,28,1
16,0,1,1282,1,1,0,32,0
17,0,0,2424,0,1,1,53,1
18,0,1,8072,0,1,1,25,1
19,1,1,12579,1,1,0,44,0
20,0,1,3430,1,1,1,31,1
21,0,0,2134,1,1,1,48,1
22,0,1,2647,1,1,1,44,1
23,0,0,2241,1,1,1,48,1
24,1,0,1804,1,1,1,44,1
25,0,0,2069,0,1,1,26,1
26,0,1,1374,1,1,1,60,1
27,0,1,426,1,1,1,39,1
28,1,1,409,1,1,0,42,1
29,1,1,2415,1,1,1,34,1
30,0,0,6836,1,1,1,63,0
31,1,1,1913,1,1,1,36,1
32,0,1,4020,1,1,1,27,1
33,1,1,5866,1,1,1,30,1
34,0,0,1264,0,1,1,57,1
35,1,1,1474,1,1,0,33,1
36,1,0,4746,1,1,1,25,0
37,0,0,6110,1,1,1,31,1
38,1,1,2100,1,1,1,37,0
39,1,1,1225,1,1,1,37,1
40,1,1,458,1,1,1,24,1
41,0,1,2333,1,1,1,30,1
42,1,1,1158,1,1,1,26,1
43,1,0,6204,1,1,1,44,1
44,0,0,6187,1,1,1,24,1
45,0,0,6143,1,1,0,58,0
46,0,0,1393,1,1,0,35,1
47,0,1,2299,1,1,1,39,1
48,0,1,1352,1,0,0,23,1
49,0,0,7228,1,1,1,39,1
50,0,1,2073,1,1,0,28,1
51,1,0,2333,0,1,1,29,1
52,1,0,5965,1,1,1,30,1
53,0,1,1262,1,1,1,25,1
54,0,1,3378,0,1,1,21,1
55,1,0,2225,1,1,1,57,0
56,0,1,783,0,1,1,26,1
57,1,1,6468,0,0,1,52,0
58,0,0,9566,1,1,0,31,1
59,1,1,1961,1,1,0,23,1
60,0,0,6229,1,1,0,23,0
61,1,1,1391,1,1,1,27,1
62,1,0,1537,0,1,1,50,1
63,1,1,1953,1,1,1,61,0
64,1,1,14421,1,1,1,25,0
65,0,1,3181,1,1,0,26,1
66,0,1,5190,0,1,1,48,1
67,0,1,2171,1,1,0,29,1
68,1,1,1007,1,1,1,22,1
69,0,1,1819,1,1,1,37,0
70,0,1,2394,0,1,0,25,1
71,0,1,8133,1,1,0,30,1
72,0,0,730,0,1,1,46,1
73,0,0,1164,1,1,1,51,1
74,1,0,5954,1,1,0,41,1
75,0,1,1977,0,1,1,40,0
76,0,0,1526,1,1,1,66,1
77,0,1,3965,1,1,1,34,0
78,1,0,4771,1,1,1,51,1
79,0,1,9436,0,1,1,39,1
80,1,1,3832,1,1,1,22,1
81,0,1,5943,0,1,0,44,0
82,0,1,1213,1,1,1,47,1
83,0,1,1568,1,1,0,24,1
84,0,1,1755,1,1,0,58,1
85,0,1,2315,1,1,1,52,1
86,0,0,1412,1,1,0,29,1
87,1,0,1295,1,1,0,27,1
88,1,1,12612,1,1,1,47,0
89,0,1,2249,1,1,1,30,1
90,0,1,1108,1,1,1,28,0
91,0,0,618,1,1,1,56,1
92,0,0,1409,1,1,1,54,1
93,0,0,797,0,1,0,33,0
94,1,0,3617,0,1,1,20,1
95,1,1,1318,1,1,1,54,1
96,1,1,15945,1,1,1,58,0
97,0,0,2012,0,1,0,61,1
98,1,1,2622,1,1,1,34,1
99,1,0,2337,1,1,1,36,1
100,1,0,7057,0,1,1,36,1
101,0,1,1469,1,1,1,41,1
102,1,1,2323,1,1,1,24,1
103,0,0,932,1,1,0,24,1
104,1,0,1919,1,1,1,35,1
105,0,1,2445,0,1,1,26,1
106,1,0,11938,1,1,1,39,0
107,0,1,6458,1,1,1,39,0
108,1,1,6078,1,1,1,32,1
109,0,1,7721,0,1,0,30,1
110,1,1,1410,1,1,1,35,1
111,1,0,1449,1,1,1,31,1
112,1,1,392,1,1,0,23,1
113,1,1,6260,1,1,1,28,1
114,0,0,7855,1,1,0,25,0
115,0,1,1680,1,1,1,35,1
116,0,0,3578,0,1,1,47,1
117,0,1,7174,0,1,0,30,0
118,0,0,2132,0,1,0,27,1
119,0,0,4281,1,1,0,23,0
120,1,0,2366,1,1,1,36,1
121,0,1,1835,1,1,0,25,0
122,0,0,3868,1,1,0,41,1
123,0,1,1768,1,1,1,24,1
124,1,0,781,1,1,1,63,1
125,1,1,1924,0,1,0,27,0
126,0,0,2121,1,1,1,30,1
127,0,1,701,1,1,1,40,1
128,1,1,639,1,1,1,30,0
129,1,0,1860,1,0,1,34,1
130,0,0,3499,1,1,0,29,0
131,1,1,8487,0,1,0,24,1
132,0,0,6887,1,1,1,29,0
133,0,1,2708,1,1,1,27,1
134,0,1,1984,1,1,1,47,1
135,0,1,10144,1,1,0,21,1
136,0,0,1240,0,1,0,38,1
137,0,0,8613,1,1,1,27,1
138,1,1,766,1,1,1,66,0
139,1,0,2728,0,1,1,35,1
140,1,1,1881,1,1,0,44,1
141,1,1,709,1,1,1,27,1
142,1,1,4795,1,1,0,30,1
143,0,1,3416,1,1,1,27,1
144,0,1,2462,1,1,1,22,0
145,0,0,2288,1,1,0,23,1
146,1,1,3566,1,1,1,30,1
147,0,0,860,1,1,0,39,1
148,0,0,682,1,1,0,51,1
149,0,0,5371,1,1,1,28,1
150,0,0,1582,1,1,1,46,1
151,0,1,1346,1,1,1,42,1
152,0,1,1924,1,1,1,38,1
153,1,1,5848,1,1,1,24,1
154,1,0,7758,1,1,0,29,1
155,1,0,6967,1,1,1,36,1
156,0,1,1282,1,1,0,20,0
157,0,0,1288,1,1,1,48,1
158,0,1,339,1,1,1,45,1
159,1,1,3512,1,1,1,38,1
160,0,0,1898,0,1,1,34,1
161,0,0,2872,1,1,1,36,1
162,0,0,1055,1,1,0,30,1
163,0,1,1262,1,1,1,36,1
164,1,1,7308,1,0,1,70,1
165,0,1,909,1,1,1,36,1
166,0,1,2978,1,1,1,32,1
