@relation 'Copy of credit-g-attr10cleanednumeric'

@attribute Case numeric
@attribute Checking_status numeric
@attribute Credit_history numeric
@attribute Credit_amount numeric
@attribute Saving_status numeric
@attribute Employment numeric
@attribute Personal_status numeric
@attribute Age numeric
@attribute Job numeric
@attribute Class numeric

@data
1,-100,0,1169,0,1,1,67,2,1
2,100,1,5951,1,1,0,22,2,0
3,0,0,2096,1,1,1,49,1,1
4,-100,1,7882,1,1,1,45,2,1
5,-100,0,4870,1,1,1,53,2,0
6,0,1,9055,0,1,1,35,1,1
7,0,1,2835,3,1,1,53,2,1
8,100,1,6948,1,1,1,35,3,1
9,0,1,3059,4,1,1,61,1,1
10,100,0,5234,1,0,1,28,3,0
11,100,1,1295,1,1,0,25,2,0
12,-100,1,4308,1,1,0,24,2,0
13,100,1,1567,1,1,0,22,2,1
14,-100,0,1199,1,1,1,60,1,0
15,-100,1,1403,1,1,0,28,2,1
16,-100,1,1282,2,1,0,32,1,0
17,0,0,2424,0,1,1,53,2,1
18,-100,1,8072,0,1,1,25,2,1
19,100,1,12579,1,1,0,44,3,0
20,0,1,3430,3,1,1,31,2,1
21,0,0,2134,1,1,1,48,2,1
22,-100,1,2647,3,1,1,44,2,1
23,-100,0,2241,1,1,1,48,1,1
24,100,0,1804,2,1,1,44,2,1
25,0,0,2069,0,1,1,26,2,1
26,-100,1,1374,1,1,1,60,1,1
27,0,1,426,1,1,1,39,1,1
28,200,1,409,4,1,0,42,2,1
29,100,1,2415,1,1,1,34,2,1
30,-100,0,6836,1,1,1,63,2,0
31,100,1,1913,4,1,1,36,2,1
32,-100,1,4020,1,1,1,27,2,1
33,100,1,5866,2,1,1,30,2,1
34,0,0,1264,0,1,1,57,1,1
35,200,1,1474,1,1,0,33,3,1
36,100,0,4746,1,1,1,25,1,0
37,0,0,6110,1,1,1,31,2,1
38,200,1,2100,1,1,1,37,2,0
39,200,1,1225,1,1,1,37,2,1
40,100,1,458,1,1,1,24,2,1
41,0,1,2333,3,1,1,30,3,1
42,100,1,1158,3,1,1,26,2,1
43,100,0,6204,1,1,1,44,1,1
44,-100,0,6187,2,1,1,24,2,1
45,-100,0,6143,1,1,0,58,1,0
46,0,0,1393,1,1,0,35,3,1
47,0,1,2299,3,1,1,39,2,1
48,-100,1,1352,3,0,0,23,0,1
49,0,0,7228,1,1,1,39,1,1
50,0,1,2073,2,1,0,28,2,1
51,100,0,2333,0,1,1,29,1,1
52,100,0,5965,1,1,1,30,3,1
53,0,1,1262,1,1,1,25,2,1
54,0,1,3378,0,1,1,21,2,1
55,100,0,2225,1,1,1,57,2,0
56,0,1,783,0,1,1,26,1,1
57,100,1,6468,0,0,1,52,3,0
58,0,0,9566,1,1,0,31,2,1
59,200,1,1961,1,1,0,23,3,1
60,-100,0,6229,1,1,0,23,1,0
61,100,1,1391,1,1,1,27,2,1
62,100,0,1537,0,1,1,50,2,1
63,100,1,1953,1,1,1,61,3,0
64,100,1,14421,1,1,1,25,2,0
65,0,1,3181,1,1,0,26,1,1
66,0,1,5190,0,1,1,48,2,1
67,0,1,2171,1,1,0,29,2,1
68,100,1,1007,4,1,1,22,2,1
69,0,1,1819,1,1,1,37,1,0
70,0,1,2394,0,1,0,25,2,1
71,0,1,8133,1,1,0,30,2,1
72,0,0,730,0,1,1,46,1,1
73,-100,0,1164,1,1,1,51,3,1
74,100,0,5954,1,1,0,41,1,1
75,-100,1,1977,0,1,1,40,3,0
76,-100,0,1526,1,1,1,66,3,1
77,-100,1,3965,1,1,1,34,2,0
78,100,0,4771,1,1,1,51,2,1
79,0,1,9436,0,1,1,39,1,1
80,100,1,3832,1,1,1,22,2,1
81,0,1,5943,0,1,0,44,2,0
82,0,1,1213,3,1,1,47,2,1
83,0,1,1568,2,1,0,24,1,1
84,-100,1,1755,1,1,0,58,1,1
85,-100,1,2315,1,1,1,52,1,1
86,0,0,1412,1,1,0,29,3,1
87,100,0,1295,1,1,0,27,2,1
88,100,1,12612,2,1,1,47,2,0
89,-100,1,2249,2,1,1,30,3,1
90,-100,1,1108,1,1,1,28,2,0
91,0,0,618,1,1,1,56,2,1
92,-100,0,1409,1,1,1,54,2,1
93,0,0,797,0,1,0,33,1,0
94,200,0,3617,0,1,1,20,2,1
95,100,1,1318,4,1,1,54,2,1
96,100,1,15945,1,1,1,58,2,0
97,0,0,2012,0,1,0,61,2,1
98,100,1,2622,2,1,1,34,2,1
99,100,0,2337,1,1,1,36,2,1
100,100,0,7057,0,1,1,36,3,1
101,0,1,1469,2,1,1,41,1,1
102,100,1,2323,1,1,1,24,2,1
103,0,0,932,1,1,0,24,2,1
104,100,0,1919,1,1,1,35,2,1
105,0,1,2445,0,1,1,26,2,1
106,100,0,11938,1,1,1,39,3,0
107,0,1,6458,1,1,1,39,3,0
108,100,1,6078,1,1,1,32,2,1
109,-100,1,7721,0,1,0,30,2,1
110,100,1,1410,3,1,1,35,2,1
111,100,0,1449,2,1,1,31,2,1
112,200,1,392,1,1,0,23,2,1
113,100,1,6260,1,1,1,28,1,1
114,0,0,7855,1,1,0,25,2,0
115,-100,1,1680,3,1,1,35,2,1
116,0,0,3578,0,1,1,47,2,1
117,-100,1,7174,0,1,0,30,3,0
118,-100,0,2132,0,1,0,27,2,1
119,-100,0,4281,3,1,0,23,2,0
120,100,0,2366,3,1,1,36,3,1
121,-100,1,1835,1,1,0,25,2,0
122,0,0,3868,1,1,0,41,3,1
123,0,1,1768,1,1,1,24,1,1
124,200,0,781,1,1,1,63,2,1
125,100,1,1924,0,1,0,27,2,0
126,-100,0,2121,1,1,1,30,2,1
127,-100,1,701,1,1,1,40,1,1
128,100,1,639,1,1,1,30,2,0
129,100,0,1860,1,0,1,34,3,1
130,-100,0,3499,1,1,0,29,2,0
131,100,1,8487,0,1,0,24,2,1
132,-100,0,6887,1,1,1,29,2,0
133,0,1,2708,1,1,1,27,1,1
134,0,1,1984,1,1,1,47,2,1
135,0,1,10144,2,1,0,21,2,1
136,0,0,1240,0,1,0,38,2,1
137,0,0,8613,4,1,1,27,2,1
138,100,1,766,3,1,1,66,1,0
139,100,0,2728,0,1,1,35,2,1
140,200,1,1881,1,1,0,44,1,1
141,200,1,709,4,1,1,27,0,1
142,100,1,4795,1,1,0,30,3,1
143,-100,1,3416,1,1,1,27,3,1
144,-100,1,2462,1,1,1,22,2,0
145,0,0,2288,1,1,0,23,2,1
146,100,1,3566,2,1,1,30,2,1
147,-100,0,860,1,1,0,39,2,1
148,0,0,682,2,1,0,51,2,1
149,-100,0,5371,1,1,1,28,2,1
150,0,0,1582,4,1,1,46,2,1
151,0,1,1346,2,1,1,42,2,1
152,0,1,1924,1,1,1,38,2,1
153,200,1,5848,1,1,1,24,2,1
154,100,0,7758,4,1,0,29,2,1
155,100,0,6967,2,1,1,36,3,1
156,-100,1,1282,1,1,0,20,2,0
157,-100,0,1288,2,1,1,48,2,1
158,-100,1,339,1,1,1,45,1,1
159,100,1,3512,2,1,1,38,2,1
