Case,Checking_status,Credit_history,Credit_amount,Saving_status,Employment,Personal_status,Age,Job,Class
1,137.5,147,1169,92,127,274.5,67,314.5,1
2,135,265.5,5951,302,170,155.5,22,314.5,0
3,197.5,147,2096,302,87.5,274.5,49,101.5,1
4,137.5,265.5,7882,302,87.5,274.5,45,314.5,1
5,137.5,44.5,4870,302,170,274.5,53,314.5,0
6,197.5,265.5,9055,92,170,274.5,35,101.5,1
7,197.5,265.5,2835,32,127,274.5,53,314.5,1
8,135,265.5,6948,302,170,274.5,35,74.5,1
9,197.5,265.5,3059,24.5,87.5,25.5,61,101.5,1
10,135,147,5234,302,31.5,46.5,28,74.5,0
11,135,265.5,1295,302,86.5,155.5,25,314.5,0
12,137.5,265.5,4308,302,86.5,155.5,24,314.5,0
13,135,265.5,1567,302,170,155.5,22,314.5,1
14,137.5,147,1199,302,127,274.5,60,101.5,0
15,137.5,265.5,1403,302,170,155.5,28,314.5,1
16,137.5,265.5,1282,52,170,155.5,32,101.5,0
17,197.5,147,2424,92,127,274.5,53,314.5,1
18,137.5,20.5,8072,92,86.5,274.5,25,314.5,1
19,135,265.5,12579,302,127,155.5,44,74.5,0
20,197.5,265.5,3430,32,127,274.5,31,314.5,1
21,197.5,147,2134,302,170,274.5,48,314.5,1
22,137.5,265.5,2647,32,170,274.5,44,314.5,1
23,137.5,147,2241,302,86.5,274.5,48,101.5,1
24,135,147,1804,52,86.5,274.5,44,314.5,1
25,197.5,147,2069,92,170,46.5,26,314.5,1
26,137.5,265.5,1374,302,170,274.5,60,101.5,1
27,197.5,20.5,426,302,127,46.5,39,101.5,1
28,32,25,409,24.5,170,155.5,42,314.5,1
29,135,265.5,2415,302,170,274.5,34,314.5,1
30,137.5,44.5,6836,302,127,274.5,63,314.5,0
31,135,265.5,1913,24.5,86.5,46.5,36,314.5,1
32,137.5,265.5,4020,302,170,274.5,27,314.5,1
33,135,265.5,5866,52,170,274.5,30,314.5,1
34,197.5,147,1264,92,127,274.5,57,101.5,1
35,32,265.5,1474,302,86.5,155.5,33,74.5,1
36,135,147,4746,302,86.5,274.5,25,101.5,0
37,197.5,147,6110,302,170,274.5,31,314.5,1
38,32,265.5,2100,302,170,274.5,37,314.5,0
39,32,265.5,1225,302,170,274.5,37,314.5,1
40,135,265.5,458,302,170,274.5,24,314.5,1
41,197.5,265.5,2333,32,127,274.5,30,74.5,1
42,135,265.5,1158,32,170,25.5,26,314.5,1
43,135,44.5,6204,302,170,274.5,44,101.5,1
44,137.5,147,6187,52,87.5,46.5,24,314.5,1
45,137.5,147,6143,302,127,155.5,58,101.5,0
46,197.5,147,1393,302,86.5,155.5,35,74.5,1
47,197.5,265.5,2299,32,127,274.5,39,314.5,1
48,137.5,265.5,1352,32,31.5,155.5,23,11.5,1
49,197.5,147,7228,302,170,274.5,39,101.5,1
50,197.5,265.5,2073,52,170,155.5,28,314.5,1
51,135,44.5,2333,92,86.5,274.5,29,101.5,1
52,135,44.5,5965,302,127,274.5,30,74.5,1
53,197.5,265.5,1262,302,170,274.5,25,314.5,1
54,197.5,265.5,3378,92,170,274.5,21,314.5,1
55,135,44.5,2225,302,127,274.5,57,314.5,0
56,197.5,25,783,92,170,274.5,26,101.5,1
57,135,265.5,6468,92,31.5,274.5,52,74.5,0
58,197.5,147,9566,302,170,155.5,31,314.5,1
59,32,265.5,1961,302,127,155.5,23,74.5,1
60,137.5,147,6229,302,86.5,155.5,23,101.5,0
61,135,265.5,1391,302,170,46.5,27,314.5,1
62,135,147,1537,92,127,274.5,50,314.5,1
63,135,20.5,1953,302,127,274.5,61,74.5,0
64,135,20.5,14421,302,170,274.5,25,314.5,0
65,197.5,265.5,3181,302,86.5,155.5,26,101.5,1
66,197.5,265.5,5190,92,127,274.5,48,314.5,1
